record_id,reference_id,date,entity,description,amount,currency,source
BNK-REF-5001,INV-2026-2001,2026-08-02,Stripe Inc,Direct Debit / Transfer: INV-2026-2001,9609.43,EUR,source_b_bank
BNK-REF-5002,INV-2026-2002,2026-08-03,Razorpay Pvt Ltd,Direct Debit / Transfer: INV-2026-2002,423.91,GBP,source_b_bank
BNK-REF-5003,INV-2026-2003,2026-08-04,Amazon Web Services,Direct Debit / Transfer: INV-2026-2003,4161.69,INR,source_b_bank
BNK-REF-5004,INV-2026-2004,2026-08-05,Google Ireland Ltd,Direct Debit / Transfer: INV-2026-2004,3387.0,USD,source_b_bank
BNK-REF-5005,INV-2026-2005,2026-08-06,Salesforce Inc,Direct Debit / Transfer: INV-2026-2005,11060.24,EUR,source_b_bank
BNK-REF-5006,INV-2026-2006,2026-08-07,Slack Inc,Direct Debit / Transfer: INV-2026-2006,10166.66,GBP,source_b_bank
BNK-REF-5007,INV-2026-2007,2026-08-08,Zoom Communications,Direct Debit / Transfer: INV-2026-2007,13388.08,INR,source_b_bank
BNK-REF-5008,INV-2026-2008,2026-08-09,Twilio Ireland,Direct Debit / Transfer: INV-2026-2008,1349.74,USD,source_b_bank
BNK-REF-5009,INV-2026-2009,2026-08-10,Figma Inc,Direct Debit / Transfer: INV-2026-2009,6357.73,EUR,source_b_bank
BNK-REF-5010,INV-2026-2010,2026-08-11,Datadog SaaS,Direct Debit / Transfer: INV-2026-2010,495.47,GBP,source_b_bank
BNK-REF-5011,INV-2026-2011,2026-08-12,Atlassian Pty Ltd,Direct Debit / Transfer: INV-2026-2011,3318.64,INR,source_b_bank
BNK-REF-5012,INV-2026-2012,2026-08-13,HubSpot Inc,Direct Debit / Transfer: INV-2026-2012,7605.06,USD,source_b_bank
BNK-REF-5013,INV-2026-2013,2026-08-14,GitHub Inc,Direct Debit / Transfer: INV-2026-2013,446.71,EUR,source_b_bank
BNK-REF-5014,INV-2026-2014,2026-08-15,Snowflake Inc,Direct Debit / Transfer: INV-2026-2014,3022.62,GBP,source_b_bank
BNK-REF-5015,INV-2026-2015,2026-08-16,Notion Inc,Direct Debit / Transfer: INV-2026-2015,9765.77,INR,source_b_bank
BNK-REF-5016,INV-2026-2016,2026-08-17,Intercom R&D,Direct Debit / Transfer: INV-2026-2016,8196.88,USD,source_b_bank
BNK-REF-5017,INV-2026-2017,2026-08-18,Cloudflare Inc,Direct Debit / Transfer: INV-2026-2017,3345.59,EUR,source_b_bank
BNK-REF-5018,INV-2026-2018,2026-08-19,Zendesk Inc,Direct Debit / Transfer: INV-2026-2018,8859.52,GBP,source_b_bank
BNK-REF-5019,INV-2026-2019,2026-08-20,Workday Inc,Direct Debit / Transfer: INV-2026-2019,12150.99,INR,source_b_bank
BNK-REF-5020,INV-2026-2020,2026-08-21,Acme Cloud Services,Direct Debit / Transfer: INV-2026-2020,147.16,USD,source_b_bank
BNK-REF-5021,INV-2026-2021,2026-08-22,Stripe Inc,Direct Debit / Transfer: INV-2026-2021,12097.0,EUR,source_b_bank
BNK-REF-5022,INV-2026-2022,2026-08-23,Razorpay Pvt Ltd,Direct Debit / Transfer: INV-2026-2022,10487.18,GBP,source_b_bank
BNK-REF-5023,INV-2026-2023,2026-08-24,Amazon Web Services,Direct Debit / Transfer: INV-2026-2023,5136.75,INR,source_b_bank
BNK-REF-5024,INV-2026-2024,2026-08-25,Google Ireland Ltd,Direct Debit / Transfer: INV-2026-2024,2374.42,USD,source_b_bank
BNK-REF-5025,INV-2026-2025,2026-08-01,Salesforce Inc,Direct Debit / Transfer: INV-2026-2025,14360.34,EUR,source_b_bank
BNK-REF-5026,INV-2026-2026,2026-08-02,Slack Inc,Direct Debit / Transfer: INV-2026-2026,5082.09,GBP,source_b_bank
BNK-REF-5027,INV-2026-2027,2026-08-03,Zoom Communications,Direct Debit / Transfer: INV-2026-2027,1436.55,INR,source_b_bank
BNK-REF-5028,INV-2026-2028,2026-08-04,Twilio Ireland,Direct Debit / Transfer: INV-2026-2028,1495.91,USD,source_b_bank
BNK-REF-5029,INV-2026-2029,2026-08-05,Figma Inc,Direct Debit / Transfer: INV-2026-2029,12720.04,EUR,source_b_bank
BNK-REF-5030,INV-2026-2030,2026-08-06,Datadog SaaS,Direct Debit / Transfer: INV-2026-2030,9075.7,GBP,source_b_bank
BNK-REF-5031,INV-2026-2031,2026-08-07,Atlassian Pty Ltd,Direct Debit / Transfer: INV-2026-2031,12116.57,INR,source_b_bank
BNK-REF-5032,INV-2026-2032,2026-08-08,HubSpot Inc,Direct Debit / Transfer: INV-2026-2032,10959.49,USD,source_b_bank
BNK-REF-5033,INV-2026-2033,2026-08-09,GitHub Inc,Direct Debit / Transfer: INV-2026-2033,8066.61,EUR,source_b_bank
BNK-REF-5034,INV-2026-2034,2026-08-10,Snowflake Inc,Direct Debit / Transfer: INV-2026-2034,14598.08,GBP,source_b_bank
BNK-REF-5035,INV-2026-2035,2026-08-11,Notion Inc,Direct Debit / Transfer: INV-2026-2035,5709.09,INR,source_b_bank
BNK-REF-5036,INV-2026-2036,2026-08-12,Intercom R&D,Direct Debit / Transfer: INV-2026-2036,8303.01,USD,source_b_bank
BNK-REF-5037,INV-2026-2037,2026-08-13,Cloudflare Inc,Direct Debit / Transfer: INV-2026-2037,12449.6,EUR,source_b_bank
BNK-REF-5038,INV-2026-2038,2026-08-14,Zendesk Inc,Direct Debit / Transfer: INV-2026-2038,9296.87,GBP,source_b_bank
BNK-REF-5039,INV-2026-2039,2026-08-15,Workday Inc,Direct Debit / Transfer: INV-2026-2039,12932.52,INR,source_b_bank
BNK-REF-5040,INV-2026-2040,2026-08-16,Acme Cloud Services,Direct Debit / Transfer: INV-2026-2040,8681.41,USD,source_b_bank
BNK-REF-5041,INV-2026-2041,2026-08-17,Stripe Inc,Direct Debit / Transfer: INV-2026-2041,10583.35,EUR,source_b_bank
BNK-REF-5042,INV-2026-2042,2026-08-18,Razorpay Pvt Ltd,Direct Debit / Transfer: INV-2026-2042,735.07,GBP,source_b_bank
BNK-REF-5043,INV-2026-2043,2026-08-19,Amazon Web Services,Direct Debit / Transfer: INV-2026-2043,3457.08,INR,source_b_bank
BNK-REF-5044,INV-2026-2044,2026-08-20,Google Ireland Ltd,Direct Debit / Transfer: INV-2026-2044,4376.35,USD,source_b_bank
BNK-REF-5045,INV-2026-2045,2026-08-21,Salesforce Inc,Direct Debit / Transfer: INV-2026-2045,1242.89,EUR,source_b_bank
BNK-REF-5046,INV-2026-2046,2026-08-22,Slack Inc,Direct Debit / Transfer: INV-2026-2046,3530.22,GBP,source_b_bank
BNK-REF-5047,INV-2026-2047,2026-08-23,Zoom Communications,Direct Debit / Transfer: INV-2026-2047,1559.97,INR,source_b_bank
BNK-REF-5048,INV-2026-2048,2026-08-24,Twilio Ireland,Direct Debit / Transfer: INV-2026-2048,4205.71,USD,source_b_bank
BNK-REF-5049,INV-2026-2049,2026-08-25,Figma Inc,Direct Debit / Transfer: INV-2026-2049,9553.48,EUR,source_b_bank
BNK-REF-5050,INV-2026-2050,2026-08-01,Datadog SaaS,Direct Debit / Transfer: INV-2026-2050,5504.24,GBP,source_b_bank
BNK-REF-5051,INV-2026-2051,2026-08-02,Atlassian Pty Ltd,Direct Debit / Transfer: INV-2026-2051,5584.21,INR,source_b_bank
BNK-REF-5052,INV-2026-2052,2026-08-03,HubSpot Inc,Direct Debit / Transfer: INV-2026-2052,3182.13,USD,source_b_bank
BNK-REF-5053,INV-2026-2053,2026-08-04,GitHub Inc,Direct Debit / Transfer: INV-2026-2053,4041.32,EUR,source_b_bank
BNK-REF-5054,INV-2026-2054,2026-08-05,Snowflake Inc,Direct Debit / Transfer: INV-2026-2054,14052.99,GBP,source_b_bank
BNK-REF-5055,INV-2026-2055,2026-08-06,Notion Inc,Direct Debit / Transfer: INV-2026-2055,9738.13,INR,source_b_bank
BNK-REF-5056,INV-2026-2056,2026-08-07,Intercom R&D,Direct Debit / Transfer: INV-2026-2056,9156.51,USD,source_b_bank
BNK-REF-5057,INV-2026-2057,2026-08-08,Cloudflare Inc,Direct Debit / Transfer: INV-2026-2057,2608.52,EUR,source_b_bank
BNK-REF-5058,INV-2026-2058,2026-08-09,Zendesk Inc,Direct Debit / Transfer: INV-2026-2058,10950.45,GBP,source_b_bank
BNK-REF-5059,INV-2026-2059,2026-08-10,Workday Inc,Direct Debit / Transfer: INV-2026-2059,2492.87,INR,source_b_bank
BNK-REF-5060,INV-2026-2060,2026-08-11,Acme Cloud Services,Direct Debit / Transfer: INV-2026-2060,5722.86,USD,source_b_bank
BNK-REF-5061,INV-2026-2061,2026-08-12,Stripe Inc,Direct Debit / Transfer: INV-2026-2061,14843.37,EUR,source_b_bank
BNK-REF-5062,INV-2026-2062,2026-08-13,Razorpay Pvt Ltd,Direct Debit / Transfer: INV-2026-2062,9618.0,GBP,source_b_bank
BNK-REF-5063,INV-2026-2063,2026-08-14,Amazon Web Services,Direct Debit / Transfer: INV-2026-2063,8376.4,INR,source_b_bank
BNK-REF-5064,INV-2026-2064,2026-08-15,Google Ireland Ltd,Direct Debit / Transfer: INV-2026-2064,10284.98,USD,source_b_bank
BNK-REF-5065,INV-2026-2065,2026-08-16,Salesforce Inc,Direct Debit / Transfer: INV-2026-2065,12650.64,EUR,source_b_bank
BNK-REF-5066,INV-2026-2066,2026-08-17,Slack Inc,Direct Debit / Transfer: INV-2026-2066,11651.2,GBP,source_b_bank
BNK-REF-5067,INV-2026-2067,2026-08-18,Zoom Communications,Direct Debit / Transfer: INV-2026-2067,3474.27,INR,source_b_bank
BNK-REF-5068,INV-2026-2068,2026-08-19,Twilio Ireland,Direct Debit / Transfer: INV-2026-2068,529.9,USD,source_b_bank
BNK-REF-5069,INV-2026-2069,2026-08-20,Figma Inc,Direct Debit / Transfer: INV-2026-2069,4766.02,EUR,source_b_bank
BNK-REF-5070,INV-2026-2070,2026-08-21,Datadog SaaS,Direct Debit / Transfer: INV-2026-2070,4052.73,GBP,source_b_bank
BNK-REF-5071,INV-2026-2071,2026-08-22,Atlassian Pty Ltd,Direct Debit / Transfer: INV-2026-2071,3204.19,INR,source_b_bank
BNK-REF-5072,INV-2026-2072,2026-08-23,HubSpot Inc,Direct Debit / Transfer: INV-2026-2072,14146.5,USD,source_b_bank
BNK-REF-5073,INV-2026-2073,2026-08-24,GitHub Inc,Direct Debit / Transfer: INV-2026-2073,13151.7,EUR,source_b_bank
BNK-REF-5074,INV-2026-2074,2026-08-25,Snowflake Inc,Direct Debit / Transfer: INV-2026-2074,4754.43,GBP,source_b_bank
BNK-REF-5075,INV-2026-2075,2026-08-01,Notion Inc,Direct Debit / Transfer: INV-2026-2075,9848.81,INR,source_b_bank
BNK-REF-5076,INV-2026-2076,2026-08-02,Intercom R&D,Direct Debit / Transfer: INV-2026-2076,5964.7,USD,source_b_bank
BNK-REF-5077,INV-2026-2077,2026-08-03,Cloudflare Inc,Direct Debit / Transfer: INV-2026-2077,13722.49,EUR,source_b_bank
BNK-REF-5078,INV-2026-2078,2026-08-04,Zendesk Inc,Direct Debit / Transfer: INV-2026-2078,6909.84,GBP,source_b_bank
