record_id,reference_id,date,entity,description,amount,taxable_amount,tax_rate,tax_amount,total_amount,currency,source
TXN-LEDGER-1001,INV-2026-2001,2026-08-02,Stripe Payments,Payment for Stripe Payments - INV-2026-2001,9609.43,9609.43,0.18,1729.7,11339.13,EUR,source_a_ledger
TXN-LEDGER-1002,INV-2026-2002,2026-08-03,Razorpay Software,Payment for Razorpay Software - INV-2026-2002,423.91,423.91,0.18,76.3,500.21,GBP,source_a_ledger
TXN-LEDGER-1003,INV-2026-2003,2026-08-04,AWS Infrastructure,Payment for AWS Infrastructure - INV-2026-2003,4161.69,4161.69,0.18,0.0,4161.69,INR,source_a_ledger
TXN-LEDGER-1004,INV-2026-2004,2026-08-05,Google Cloud Platform,Payment for Google Cloud Platform - INV-2026-2004,3387.0,3387.0,0.18,609.66,3996.66,USD,source_a_ledger
TXN-LEDGER-1005,INV-2026-2005,2026-08-06,Salesforce CRM,Payment for Salesforce CRM - INV-2026-2005,11060.24,11060.24,0.18,1990.84,13051.08,EUR,source_a_ledger
TXN-LEDGER-1006,INV-2026-2006,2026-08-07,Slack Technologies,Payment for Slack Technologies - INV-2026-2006,10166.66,10166.66,0.18,1830.0,11996.66,GBP,source_a_ledger
TXN-LEDGER-1007,INV-2026-2007,2026-08-08,Zoom Video Comm,Payment for Zoom Video Comm - INV-2026-2007,13388.08,13388.08,0.12,1606.57,14994.65,INR,source_a_ledger
TXN-LEDGER-1008,INV-2026-2008,2026-08-09,Twilio API Services,Payment for Twilio API Services - INV-2026-2008,1349.74,1349.74,0.18,242.95,1592.69,USD,source_a_ledger
TXN-LEDGER-1009,INV-2026-2009,2026-08-10,Figma Design Systems,Payment for Figma Design Systems - INV-2026-2009,6357.73,6357.73,0.18,1144.39,7502.12,EUR,source_a_ledger
TXN-LEDGER-1010,INV-2026-2010,2026-08-11,Datadog Monitoring,Payment for Datadog Monitoring - INV-2026-2010,495.47,495.47,0.18,89.18,584.65,GBP,source_a_ledger
TXN-LEDGER-1011,INV-2026-2011,2026-08-12,Atlassian Jira,Payment for Atlassian Jira - INV-2026-2011,3318.64,3318.64,0.18,612.86,3931.5,INR,source_a_ledger
TXN-LEDGER-1012,INV-2026-2012,2026-08-13,HubSpot Marketing,Payment for HubSpot Marketing - INV-2026-2012,7605.06,7605.06,0.18,1368.91,8973.97,USD,source_a_ledger
TXN-LEDGER-1013,INV-2026-2013,2026-08-14,GitHub Enterprise,Payment for GitHub Enterprise - INV-2026-2013,446.71,446.71,0.18,80.41,527.12,EUR,source_a_ledger
TXN-LEDGER-1014,INV-2026-2014,2026-08-15,Snowflake Data Cloud,Payment for Snowflake Data Cloud - INV-2026-2014,3022.62,3022.62,0.18,544.07,3566.69,GBP,source_a_ledger
TXN-LEDGER-1015,INV-2026-2015,2026-08-16,Notion Labs,Payment for Notion Labs - INV-2026-2015,9765.77,9765.77,0.18,1757.84,11523.61,INR,source_a_ledger
TXN-LEDGER-1016,INV-2026-2016,2026-08-17,Intercom Support,Payment for Intercom Support - INV-2026-2016,8196.88,8196.88,0.18,1475.44,9672.32,USD,source_a_ledger
